artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10
DJ Tomekk feat. Fler intro. G-Hot,"Jump, Jump (DJ Tomekk kommt)",66,26,3,2005,2005,7
Shakira feat. Alejandro Sanz,La Tortura,63,27,4,2005,2005,11
Crazy Frog,Axel F.,61,28,3,2005,2005,11
Marc Terenzi,Love To Be Loved By You,61,29,3,2005,2005,6
Ich + Ich,Du erinnerst mich an Liebe,58,30,4,2005,2005,11
2 Pac,Ghetto Gospel,58,31,3,2005,2005,10
Jay-Z & Linkin Park,Numb / Encore,58,32,4,2004,2005,9
Nu Pagadi (Popstars 4),Sweetest Poison,58,33,2,2004,2005,6
Yvonne Catterfeld,Glaub an mich,49,34,3,2005,2005,7
Gwen Stefani,Hollaback Girl,46,35,3,2005,2005,7
Krypteria feat. Ji-in Cho (Fame Academy),Liberatio,44,36,3,2005,2005,6
Global Deejays,The Sound Of San Francisco,41,37,3,2004,2005,7
US 5 (Big in America Star),Just Because Of You,38,38,3,2005,2005,6
Snoop Doggy Dogg feat. Charlie Wilson & Justin Timberlake,Signs,34,39,3,2005,2005,5
Mustafa Sandal feat. Gentleman,Isyankar,32,40,6,2005,2005,8
Depeche Mode,Precious,31,41,2,2005,2005,5
Rihanna,Pon De Replay,30,42,6,2005,2005,6
Kool Savas & Azad,All 4 One,28,43,4,2005,2005,6
Will Smith,Switch,28,44,4,2005,2005,5
Backstreet Boys,Incomplete,27,45,3,2005,2005,4
Christina Stürmer (Starmania Österreich),Ich lebe,26,46,4,2005,2005,6
The Black Eyed Peas,My Humps,25,47,5,2005,2005,4
Mattafix,Big City Life,22,48,5,2005,2005,4
Sarah Connor,Living To Love You,22,49,3,2004,2005,3
t.A.T.u.,All About Us,21,50,7,2005,2005,6
Daddy Yankee,Gasolina,20,51,7,2005,2005,6
Sean Paul,We Be Burnin',19,52,5,2005,2005,4
Nelly feat. Tim McGraw,Over And Over,17,53,8,2005,2005,5
Kelly Clarkson (American Idol 1),Since U Been Gone,17,54,6,2005,2005,4
Ciara feat. Missy Elliott,"1, 2 Step",17,55,7,2005,2005,4
Snoop Doggy Dogg feat. Pharrell Williams,Drop It Like It's Hot,16,56,8,2004,2005,6
Nena,Willst du mit mir gehn?,16,57,6,2005,2005,4
Jennifer Lopez,Get Right,16,58,7,2005,2005,4
Ich + Ich,Dienen,15,59,7,2005,2005,4
Sarah Connor,Christmas In My Heart,15,60,4,2005,2005,3
Tokio Hotel,Schrei,15,61,5,2005,2005,3
Fettes Brot,An Tagen wie diesen,14,62,9,2005,2005,6
Banaroo,Space Cowboy,14,63,5,2005,2005,3
Seeed feat. Cee-Lo Green,Aufstehn!,13,64,5,2005,2005,3
Annett Louisan,Das Spiel,11,65,7,2004,2005,3
Eminem,Like Toy Soldiers,11,66,8,2005,2005,3
Schnappi,Ein Lama in Yokohama,11,67,6,2005,2005,2
Scooter,One (Always Hardcore),10,68,9,2004,2005,4
Bon Jovi,Have A Nice Day,10,69,7,2005,2005,3
Shakira,Don't Bother,9,70,7,2005,2005,3
The Chemical Brothers,Galvanize,9,71,8,2005,2005,3
Hot Banditoz,"Shake Your Balla (1,2,3 Alarma)",9,72,5,2005,2005,2
Banaroo,Coming Home For Christmas,7,73,8,2005,2005,2
Ciara feat. Ludacris,Oh,7,74,7,2005,2005,2
The Black Eyed Peas,Don't Phunk With My Heart,6,75,8,2005,2005,2
Rammstein,Benzin,6,76,6,2005,2005,1
Fler,NDW 2005,5,77,9,2005,2005,2
The Game feat. 50 Cent,How We Do,5,78,9,2005,2005,2
Tic Tac Toe,Spiegel,4,79,8,2005,2005,1
50 Cent feat. Mobb Deep,Outta Control,4,80,8,2005,2005,1
Gorillaz & De La Soul,Feel Good Inc.,4,81,8,2005,2005,1
Eric Prydz,Call On Me,4,82,8,2004,2005,1
Juli,Perfekte Welle,3,83,9,2004,2005,1
HIM,Wings Of A Butterfly,2,84,10,2005,2005,1
Raptile,Fight Back,2,85,10,2005,2005,1
Lukas Hilbert,Was ich an dir mag,2,86,10,2004,2005,1
GoLeo VI pres. Bob Sinclar feat. Gary Nesta Pine,Love Generation,253,1,1,2005,2006,25
Texas Lightning,No No Never,208,2,1,2006,2006,18
Shakira feat. Wyclef Jean,Hips Don't Lie,171,3,1,2006,2006,16
Gnarls Barkley,Crazy,166,4,3,2006,2006,22
Silbermond,Das Beste,165,5,1,2006,2006,10
Rihanna,Unfaithful,149,6,2,2006,2006,14
Sportfreunde Stiller,"'54, '74, '90, 2006",138,7,1,2006,2006,11
Herbert Grönemeyer feat. Amadou & Mariam,"Zeit, daß sich was dreht",134,8,1,2006,2006,12
Scissor Sisters,I Don't Feel Like Dancin',133,9,1,2006,2006,13
Eros Ramazzotti & Anastacia,I Belong To You (Il ritmo della passione),132,10,1,2006,2006,11
Mattafix,Big City Life,119,11,1,2005,2006,11
Justin Timberlake & Timbaland,Sexyback,118,12,1,2006,2006,10
Xavier Naidoo,Danke,116,13,1,2006,2006,11
Madonna,Hung Up,101,14,1,2005,2006,8
Tobias Regner (DsdS 3),I Still Burn,89,15,1,2006,2006,6
Rosenstolz,Ich bin ich (Wir sind wir),87,16,2,2006,2006,11
Nelly Furtado,Maneater,82,17,4,2006,2006,14
Oliver Pocher,Schwarz und Weiß,77,18,3,2006,2006,11
Xavier Naidoo,Dieser Weg,77,19,2,2005,2006,8
Rihanna,SOS,63,20,2,2006,2006,7
Vibekingz & Maliq,Like The Wind,61,21,2,2006,2006,9
Xavier Naidoo,Was wir alleine nicht schaffen,60,22,2,2006,2006,6
The Pussycat Dolls & Big Snoop Dogg,Buttons,57,23,4,2006,2006,10
Kelly Clarkson (American Idol 1),Because Of You,54,24,4,2006,2006,9
Robbie Williams,Rudebox,54,25,1,2006,2006,5
Pink,U + Ur Hand,52,26,4,2006,2006,8
Melanie C (Mel C.),First Day Of My Life,47,27,3,2005,2006,6
Karmah,Just Be Good To Me,45,28,5,2005,2006,9
Nelly Furtado feat. Rea,All Good Things (Come To An End),45,29,2,2006,2006,3
Christina Aguilera,Hurt,43,30,2,2006,2006,5
Take That,Patience,42,31,1,2006,2006,4
Seeed,Ding,41,32,5,2006,2006,10
Chipz,1001 Arabian Nights,41,33,3,2006,2006,6
Mike Leon Grosch (DsdS 3),Don't Let It Get You Down,40,34,1,2006,2006,4
Fergie,London Bridge,39,35,3,2006,2006,5
Tokio Hotel,Der letzte Tag,39,36,1,2006,2006,4
Lordi,Hard Rock Hallelujah,38,37,5,2006,2006,8
Pinocchio,Klick klack,37,38,3,2006,2006,6
The Black Eyed Peas,My Humps,36,39,4,2005,2006,7
Nelly Furtado feat. Timbaland,Promiscuous,36,40,6,2006,2006,7
Monrose (Popstars 5),Shame,36,41,1,2006,2006,2
Flipsyde,Happy Birthday,34,42,4,2006,2006,7
Mary J. Blige & U2,One,32,43,6,2006,2006,8
Akon feat. Eminem,Smack That,30,44,5,2006,2006,6
Chris Brown,Run It!,30,45,5,2006,2006,5
Tokio Hotel,Rette mich,30,46,1,2006,2006,2
The Pussycat Dolls & Will.i.am,Beep,28,47,5,2006,2006,6
GoLeo VI pres. Lumidee & Fatman Scoop,Dance!,26,48,5,2006,2006,7
Juli,Dieses Leben,25,49,5,2006,2006,5
Christina Aguilera,Ain't No Other Man,24,50,5,2006,2006,4
US 5 (Big in America Star),In The Club,24,51,2,2006,2006,3
Justin Timberlake feat. T.I.,My Love,22,52,4,2006,2006,4
Depeche Mode,Martyr,22,53,2,2006,2006,3
P. Diddy feat. Nicole Scherzinger,Come To Me,21,54,6,2006,2006,5
Sarah Connor,The Best Side Of Life,20,55,4,2006,2006,3
US 5 (Big in America Star),Come Back To Me Baby,20,56,3,2006,2006,2
Eminem,When I'm Gone,18,57,6,2006,2006,4
Tic Tac Toe,Spiegel,17,58,7,2005,2006,5
Tokio Hotel,Schrei,16,59,6,2005,2006,4
Paris Hilton,Stars Are Blind,16,60,7,2006,2006,4
Pink,Stupid Girls,15,61,5,2006,2006,4
Sarah Connor,Christmas In My Heart,15,62,4,2005,2006,2
Snow Patrol,Chasing Cars,14,63,8,2006,2006,5
Sugababes,Push The Button,14,64,6,2005,2006,3
The Notorious B.I.G. feat. P. Diddy & Nelly & Jagged Edge & Avery Storm,Nasty Girl,13,65,8,2006,2006,5
Chamillionaire feat. Krayzie Bone,Ridin',12,66,8,2006,2006,3
Yvonne Catterfeld,Erinner mich dich zu vergessen,11,67,6,2006,2006,2
Meat Loaf feat. Marion Raven,It's All Coming Back To Me Now,10,68,7,2006,2006,3
James Blunt,You're Beautiful,10,69,7,2005,2006,2
Madonna,Sorry,9,70,5,2006,2006,2
US 5 (Big in America Star),Mama,8,71,4,2006,2006,1
Sebastian Hämer,Sommer unseres Lebens,6,72,9,2006,2006,2
Banaroo,Uh Mamma,6,73,9,2006,2006,2
U2 & Green Day,The Saints Are Coming,6,74,6,2006,2006,1
Sergio Mendes & The Black Eyed Peas,Mas Que Nada,5,75,9,2006,2006,2
Rosenstolz,Ich geh' in Flammen auf,5,76,7,2006,2006,1
Marquess,El Temperamento,4,77,10,2006,2006,2
Crazy Frog,We Are The Champions (Ding A Dang Dong),4,78,10,2006,2006,2
Robbie Williams,Advertising Space,4,79,10,2005,2006,2
Rosenstolz,Auch im Regen,4,80,8,2006,2006,1
Beyonce Knowles feat. Jay-Z,Deja Vu,3,81,9,2006,2006,1
Soccx,From Dusk Till Dawn (Get The Party Started),2,82,10,2006,2006,1
Silbermond,Unendlich,2,83,10,2006,2006,1
Wham!,Last Christmas,2,84,10,1985,2006,1
DJ Ötzi & Nik P.,Ein Stern (der deinen Namen trägt),358,1,1,2007,2007,34
Nelly Furtado,Say It Right,178,2,2,2007,2007,15
Rihanna,Don't Stop The Music,175,3,1,2007,2007,14
Nelly Furtado feat. Rea,All Good Things (Come To An End),173,4,1,2006,2007,14
Culcha Candela,Hamma!,164,5,1,2007,2007,12
Ville Valo & Natalia Avelon,Summer Wine,162,6,2,2007,2007,17
Rihanna feat. Jay-Z,Umbrella,149,7,1,2007,2007,13
Ich + Ich,Vom selben Stern,132,8,3,2007,2007,19
Mark Medlock (DsdS 4) feat. Dieter Bohlen,You Can Get It,120,9,1,2007,2007,9
James Blunt,1973,111,10,2,2007,2007,12
Marquess,Vayamos Companeros,105,11,2,2007,2007,15
Alex C. feat. Y-ass,Du hast den schönsten Arsch der Welt,104,12,1,2007,2007,8
Azad feat. Adel Tawil,Prison Break Anthem (Ich glaub an dich),98,13,1,2007,2007,10
Plain White T's,Hey There Delilah,96,14,1,2007,2007,8
Monrose (Popstars 5),Hot Summer,96,15,1,2007,2007,8
Pink,Dear Mr. President,90,16,3,2007,2007,13
Mark Medlock (DsdS 4),Now Or Never,90,17,1,2007,2007,7
Timbaland pres. OneRepublic,Apologize,90,18,1,2007,2007,5
Timbaland feat. Nelly Furtado & Justin Timberlake,Give It To Me,88,19,3,2007,2007,12
Monrose (Popstars 5),Shame,70,20,2,2006,2007,6
Ich + Ich,Stark,60,21,2,2007,2007,5
Timbaland feat. Keri Hilson & D.O.E.,The Way I Are,57,22,5,2007,2007,11
Beyonce Knowles feat. Shakira,Beautiful Liar,57,23,1,2007,2007,7
Silbermond,Das Beste,55,24,3,2006,2007,7
Höhner,Wenn nicht jetzt wann dann?,55,25,1,2007,2007,5
Alicia Keys,No One,52,26,3,2007,2007,7
Mika,Grace Kelly,51,27,4,2007,2007,10
Christina Aguilera,Hurt,48,28,3,2006,2007,6
Avril Lavigne,Girlfriend,47,29,3,2007,2007,8
Fergie,Big Girls Don't Cry,45,30,6,2007,2007,10
Sunrise Avenue,Fairytale Gone Bad,45,31,3,2006,2007,7
Justin Timberlake,What Goes Around...Comes Around,42,32,5,2007,2007,9
Robbie Williams & Pet Shop Boys,She's Madonna,41,33,4,2007,2007,7
Gwen Stefani feat. Akon,The Sweet Escape,40,34,6,2007,2007,9
50 Cent feat. Justin Timberlake & Timbaland,Ayo Technology,40,35,3,2007,2007,6
Xavier Naidoo,Was wir alleine nicht schaffen,40,36,4,2006,2007,5
Sugababes,About You Now,39,37,4,2007,2007,8
Die Ärzte,Junge,37,38,1,2007,2007,3
Herbert Grönemeyer,Lied 1 - Stück vom Himmel,35,39,1,2007,2007,4
Mika,"Relax, Take It Easy",33,40,4,2007,2007,6
Scooter,"The Question Is, What Is The Question ?",32,41,5,2007,2007,7
Nevio (DsdS 3),Amore Per Sempre,32,42,2,2007,2007,5
Tokio Hotel,An deiner Seite (Ich bin da),27,43,2,2007,2007,3
Lafee,Heul doch,26,44,3,2007,2007,5
Jimi Blue,I'm Lovin'...(L.R.H.P.),25,45,5,2007,2007,5
Tokio Hotel,Übers Ende der Welt,23,46,1,2007,2007,2
Take That,Patience,22,47,6,2006,2007,4
Eric Prydz vs. Floyd,Proper Education,20,48,4,2007,2007,5
Monrose (Popstars 5),Strictly Physical,20,49,6,2007,2007,4
Pigloo,Papa Pinguin,20,50,6,2007,2007,4
Cascada,Everytime We Touch,20,51,5,2007,2007,4
Enrique Iglesias,Do You Know? (The Ping Pong Song) / Dimelo,19,52,6,2007,2007,6
Basshunter,Boten Anna,18,53,9,2007,2007,8
P. Diddy feat. Christina Aguilera,Tell Me,18,54,5,2007,2007,4
Bon Jovi,(You Want To) Make A Memory,17,55,5,2007,2007,4
Bushido,Alles verloren,17,56,4,2007,2007,3
Tokio Hotel,Spring nicht,16,57,3,2007,2007,2
Linkin Park,What I've Done,15,58,4,2007,2007,3
US 5 (Big in America Star),One Night With You,15,59,2,2007,2007,1
Mark Medlock (DsdS 4) feat. Dieter Bohlen,Unbelievable,14,60,4,2007,2007,3
Monrose (Popstars 5),Even Heaven Cries,14,61,6,2007,2007,3
Akon feat. Eminem,Smack That,12,62,8,2006,2007,3
No Angels (Popstars 1),Goodbye To Yesterday,12,63,4,2007,2007,2
Red Hot Chili Peppers,Snow (Hey Oh),12,64,5,2006,2007,2
Sarah Connor,The Best Side Of Life,11,65,6,2006,2007,2
Culcha Candela,Ey DJ,9,66,7,2007,2007,3
Nicole Scherzinger & Will.i.am,Baby Love,9,67,5,2007,2007,2
Justin Timberlake feat. T.I.,My Love,8,68,9,2006,2007,3
US 5 (Big in America Star),Rhythm Of Life,8,69,4,2007,2007,1
Scissor Sisters,I Don't Feel Like Dancin',7,70,7,2006,2007,2
Monrose (Popstars 5),What You Don't Know,6,71,6,2007,2007,1
Snow Patrol,Chasing Cars,5,72,9,2006,2007,2
US 5 (Big in America Star) & Robin Gibb,Too Much Heaven,5,73,7,2007,2007,1
Britney Spears,Gimme More,5,74,7,2007,2007,1
Roger Cicero,Frauen regier'n die Welt,5,75,7,2007,2007,1
Sasha,Hide & Seek,4,76,8,2007,2007,1
Jörn Schlönvoigt,Das Gegenteil von Liebe,4,77,8,2007,2007,1
Sarah Connor,The Impossible Dream (The Quest),4,78,8,2007,2007,1
Scooter,And No Matches,3,79,9,2007,2007,1
Avantasia,Lost In Space,3,80,9,2007,2007,1
Cinema Bizarre,Lovesongs (They Kill Me),3,81,9,2007,2007,1
Oomph! feat. Marta Jandova,Träumst du,3,82,9,2007,2007,1
Nic,Einen Stern (der deinen Namen trägt),3,83,9,2007,2007,1
Wham!,Last Christmas,3,84,9,1985,2007,1
Seal,Amazing,2,85,10,2007,2007,1
Colbie Caillat,Bubbly,2,86,10,2007,2007,1
Sean Kingston,Beautiful Girls,2,87,10,2007,2007,1
Dave Gahan,Kingdom,2,88,10,2007,2007,1
David Bisbal,Silencio,2,89,10,2007,2007,1
Nena feat. Oliver Pocher & Stephan Remmler,Ich kann nix dafür,2,90,10,2007,2007,1
Jennifer Lopez,Que Hiciste,2,91,10,2007,2007,1
Soccx,Scream Out Loud,2,92,10,2007,2007,1
Sasha,Coming Home,2,93,10,2006,2007,1
Leona Lewis (UK X-Factor 3),Bleeding Love,211,1,1,2008,2008,17
Kid Rock,All Summer Long,196,2,1,2008,2008,16
Katy Perry,I Kissed A Girl,189,3,1,2008,2008,13
Duffy,Mercy,177,4,1,2008,2008,18
Amy MacDonald,This Is The Life,174,5,2,2008,2008,20
Schnuffel,Kuschel Song,173,6,1,2008,2008,11
Timbaland pres. OneRepublic,Apologize,164,7,1,2007,2008,14
Pink,So What,155,8,1,2008,2008,11
Polarkreis 18,Allein allein,147,9,1,2008,2008,10
Ich + Ich,So soll es bleiben,140,10,3,2008,2008,17
Gabriella Cilmi,Sweet About Me,137,11,2,2008,2008,16
Stefanie Heinzmann (TV Total SsdSdsswemugabRTLad),My Man Is A Mean Man,125,12,3,2008,2008,13
Madonna feat. Justin Timberlake,4 Minutes,111,13,1,2008,2008,9
Ich + Ich,Stark,93,14,2,2007,2008,13
Mark Medlock (DsdS 4),Summer Love,93,15,1,2008,2008,7
Mark Ronson feat. Amy Winehouse,Valerie,92,16,3,2008,2008,13
Paul Potts (Britain’s Got Talent),Nessun Dorma,83,17,2,2008,2008,10
Shaggy feat. Trix & Flix,Feel The Rush,80,18,1,2008,2008,8
Söhne Mannheims,Das hat die Welt noch nicht gesehen,79,19,1,2008,2008,9
Rosenstolz,Gib mir Sonne,76,20,1,2008,2008,7
Katy Perry,Hot N Cold,69,21,1,2008,2008,4
The Guru Josh Project,Infinity 2008 (Remix),68,22,4,2008,2008,12
Thomas Godoj (DsdS 5),Love Is You,67,23,1,2008,2008,6
Leona Lewis (UK X-Factor 3),Better In Time,63,24,2,2008,2008,10
Revolverheld,Helden 2008,62,25,2,2008,2008,6
Alicia Keys,No One,60,26,3,2007,2008,8
DJ Ötzi & Nik P.,Ein Stern (der deinen Namen trägt),41,27,4,2007,2008,8
Yael Naim & David Donatien,New Soul,41,28,4,2008,2008,7
Ne-Yo,Closer,40,29,4,2008,2008,8
Fettes Brot feat. Modeselektor,"Bettina, zieh dir bitte etwas an",40,30,3,2008,2008,5
OneRepublic,Stop And Stare,36,31,6,2008,2008,8
Alex C. feat. Y-ass,Doktorspiele,36,32,4,2008,2008,6
Fady Maalouf (DsdS 5),Blessed,36,33,2,2008,2008,4
Coldplay,Viva La Vida,35,34,5,2008,2008,8
Rihanna,Disturbia,35,35,5,2008,2008,6
Reamonn,Through The Eyes Of A Child,33,36,6,2008,2008,7
Beyonce Knowles,If I Were A Boy,31,37,3,2008,2008,5
Peter Fox,Alles neu,29,38,4,2008,2008,7
Rihanna,Take A Bow,29,39,6,2008,2008,7
Alex C. feat. Y-ass,Du hast den schönsten Arsch der Welt,25,40,4,2007,2008,4
